status,alias,nazwa,typ,resolution,fps,codec,streamid,server,hls,poprzedni_status,adres_strony,uwagi
ONLINE,mallafre,Refugi Mallafre,góry / narty,3840x2160,7.42,h265,96wx76gf3rrytvlto,http://s150.ipcamlive.com/,https://s150.ipcamlive.com/streams/96wx76gf3rrytvlto/stream.m3u8,NIE TESTOWANO,https://www.ipcamlive.com/mallafre,segment OK
ONLINE,znpvkamera2,Słowenia - Planina nad Vrhniko,góry / narty,1920x1080,20.83,h264,3a1xatdqdgfjzjhuw,http://s58.ipcamlive.com/,https://s58.ipcamlive.com/streams/3a1xatdqdgfjzjhuw/stream.m3u8,ONLINE,https://www.ipcamlive.com/znpvkamera2,segment OK
ONLINE,63cb127a0a4f9,USA - Royal Mountain,góry / narty,1920x1080,25.00,h264,9dvzy17a6xk25kveq,http://s157.ipcamlive.com/,https://s157.ipcamlive.com/streams/9dvzy17a6xk25kveq/stream.m3u8,ONLINE,https://www.ipcamlive.com/63cb127a0a4f9,segment OK
ONLINE,athens,Athens I65 and HWY72,inne,1280x720,25.00,h264,752zg3mxrlh5wsytv,http://s117.ipcamlive.com/,https://s117.ipcamlive.com/streams/752zg3mxrlh5wsytv/stream.m3u8,NIE TESTOWANO,https://www.ipcamlive.com/athens,segment OK
ONLINE,balneariorosana,Balneário Municipal de Rosana,inne,1920x1080,30.30,h264,8878vil63pe2tcesm,http://s136.ipcamlive.com/,https://s136.ipcamlive.com/streams/8878vil63pe2tcesm/stream.m3u8,NIE TESTOWANO,https://www.ipcamlive.com/balneariorosana,segment OK
ONLINE,broadway2a,Broadway Camera 2,inne,1920x1080,14.71,h264,03qi2d9hzrndgoq35,http://s3.ipcamlive.com/,https://s3.ipcamlive.com/streams/03qi2d9hzrndgoq35/stream.m3u8,NIE TESTOWANO,https://www.ipcamlive.com/broadway2a,segment OK
ONLINE,camp48a,camp48a,inne,1280x720,23.98,h264,a8co2vj0scrankw16,http://s168.ipcamlive.com/,https://s168.ipcamlive.com/streams/a8co2vj0scrankw16/stream.m3u8,NIE TESTOWANO,https://www.ipcamlive.com/camp48a,segment OK
ONLINE,cedarcoveresort,Cedar Cove Resort,inne,1920x1080,30.03,h264,34py42k1n3czytu6s,http://s52.ipcamlive.com/,https://s52.ipcamlive.com/streams/34py42k1n3czytu6s/stream.m3u8,ONLINE,https://www.ipcamlive.com/cedarcoveresort,segment OK
ONLINE,63609c3400e64,Central,inne,800x450,30.03,h264,34k1jywngsxpvxfoh,http://s52.ipcamlive.com/,https://s52.ipcamlive.com/streams/34k1jywngsxpvxfoh/stream.m3u8,NIE TESTOWANO,https://www.ipcamlive.com/63609c3400e64,segment OK
ONLINE,kovacine,Chorwacja - Kovacine,inne,1920x1080,25.00,h264,15knjivxb0srtugyh,http://s21.ipcamlive.com/,https://s21.ipcamlive.com/streams/15knjivxb0srtugyh/stream.m3u8,ONLINE,https://www.ipcamlive.com/kovacine,segment OK
ONLINE,lissycaseychurch,Church Camera,inne,1920x1080,20.00,h264,01acigrp2tw7ly6tb,http://s1.ipcamlive.com/,https://s1.ipcamlive.com/streams/01acigrp2tw7ly6tb/stream.m3u8,NIE TESTOWANO,https://www.ipcamlive.com/lissycaseychurch,segment OK
ONLINE,decatur,Decatur,inne,1280x720,25.00,h264,737qyzk1votozuuhp,http://s115.ipcamlive.com/,https://s115.ipcamlive.com/streams/737qyzk1votozuuhp/stream.m3u8,NIE TESTOWANO,https://www.ipcamlive.com/decatur,segment OK
ONLINE,fasoula,Fasoula,inne,1920x1080,25.00,h264,2csecyeljizvrtoph,http://s44.ipcamlive.com/,https://s44.ipcamlive.com/streams/2csecyeljizvrtoph/stream.m3u8,NIE TESTOWANO,https://www.ipcamlive.com/fasoula,segment OK
ONLINE,otport,Francja - Saintes-Maries-de-la-Mer,inne,640x480,6.26,h264,a90o1rixzrgbzovsb,http://s169.ipcamlive.com/,https://s169.ipcamlive.com/streams/a90o1rixzrgbzovsb/stream.m3u8,ONLINE,https://www.ipcamlive.com/otport,segment OK
ONLINE,dagilberto,Grecja - Rodos,inne,1280x720,12.45,h264,1ft4xm0la7dzkugyf,http://s31.ipcamlive.com/,https://s31.ipcamlive.com/streams/1ft4xm0la7dzkugyf/stream.m3u8,ONLINE,https://www.ipcamlive.com/dagilberto,segment OK
ONLINE,hotelcharn,Hotel Charn,inne,352x288,24.94,h264,94wxlwjbsmputafgd,http://s148.ipcamlive.com/,https://s148.ipcamlive.com/streams/94wxlwjbsmputafgd/stream.m3u8,NIE TESTOWANO,https://www.ipcamlive.com/hotelcharn,segment OK
ONLINE,60d5c730c91b5,I360 Tower Camera North,inne,1920x1080,25.00,h264,041x5osudczfkvt0i,http://s4.ipcamlive.com/,https://s4.ipcamlive.com/streams/041x5osudczfkvt0i/stream.m3u8,NIE TESTOWANO,https://www.ipcamlive.com/60d5c730c91b5,segment OK
ONLINE,667af502836d4,Kaiaponi Farm - Waikanae Surf Club,inne,1920x1080,20.00,h264,80sdrcptnpemxvjlk,http://s128.ipcamlive.com/,https://s128.ipcamlive.com/streams/80sdrcptnpemxvjlk/stream.m3u8,NIE TESTOWANO,https://www.ipcamlive.com/667af502836d4,segment OK
ONLINE,kite,Kite,inne,1280x720,27.03,h264,8bymnefk7stywxg2n,http://s139.ipcamlive.com/,https://s139.ipcamlive.com/streams/8bymnefk7stywxg2n/stream.m3u8,NIE TESTOWANO,https://www.ipcamlive.com/kite,segment OK
ONLINE,64934d0a183a8,Kootzcam,inne,1920x1080,15.02,h264,86sz9fnhapngau230,http://s134.ipcamlive.com/,https://s134.ipcamlive.com/streams/86sz9fnhapngau230/stream.m3u8,NIE TESTOWANO,https://www.ipcamlive.com/64934d0a183a8,segment OK
ONLINE,laurelwoodgreen,Laurelwood Golf - green,inne,1920x1080,30.03,h264,3f1v9ofiw2ojz54dd,http://s63.ipcamlive.com/,https://s63.ipcamlive.com/streams/3f1v9ofiw2ojz54dd/stream.m3u8,ONLINE,https://www.ipcamlive.com/laurelwoodgreen,segment OK
ONLINE,ozogolfclub,Ozo Golf Club,inne,2688x1520,25.00,h265,7aidatrtzppro936l,http://s122.ipcamlive.com/,https://s122.ipcamlive.com/streams/7aidatrtzppro936l/stream.m3u8,ONLINE,https://www.ipcamlive.com/ozogolfclub,segment OK
ONLINE,5746774011783,Public IPCamLive camera,inne,1280x720,15.04,h265,24rgyl4s7dwhr1iac,http://s36.ipcamlive.com/,https://s36.ipcamlive.com/streams/24rgyl4s7dwhr1iac/stream.m3u8,NIE TESTOWANO,https://www.ipcamlive.com/5746774011783,segment OK
ONLINE,5bc206bd09b49,Public IPCamLive camera,inne,1280x720,25.00,h264,3fqtmhz0lunaa3cgx,http://s63.ipcamlive.com/,https://s63.ipcamlive.com/streams/3fqtmhz0lunaa3cgx/stream.m3u8,NIE TESTOWANO,https://www.ipcamlive.com/5bc206bd09b49,segment OK
ONLINE,64ea30cf0d7be,Public IPCamLive camera,inne,1920x1080,25.00,h265,b0z8snehcuox67ibb,http://s176.ipcamlive.com/,https://s176.ipcamlive.com/streams/b0z8snehcuox67ibb/stream.m3u8,NIE TESTOWANO,https://www.ipcamlive.com/64ea30cf0d7be,segment OK
ONLINE,67ffd07062ee5,Public IPCamLive camera,inne,1920x1080,30.00,h265,9c1tleaiwzkknqqro,http://s156.ipcamlive.com/,https://s156.ipcamlive.com/streams/9c1tleaiwzkknqqro/stream.m3u8,NIE TESTOWANO,https://www.ipcamlive.com/67ffd07062ee5,segment OK
ONLINE,5d42fff5d1dab,Public IPCamLive page,inne,640x360,10.20,h264,45tg9tvfix8qrza6j,http://s69.ipcamlive.com/,https://s69.ipcamlive.com/streams/45tg9tvfix8qrza6j/stream.m3u8,NIE TESTOWANO,https://www.ipcamlive.com/5d42fff5d1dab,segment OK
ONLINE,5a8f2c6c318d9,Public IPCamLive page,inne,1280x720,15.90,h264,5bwfxjrwkuijpq6cx,http://s91.ipcamlive.com/,https://s91.ipcamlive.com/streams/5bwfxjrwkuijpq6cx/stream.m3u8,NIE TESTOWANO,https://www.ipcamlive.com/5a8f2c6c318d9,segment OK
ONLINE,65e8fcfbcbd5c,Public IPCamLive page,inne,3840x2160,19.93,h265,73sd3nuiywmenzqtd,http://s115.ipcamlive.com/,https://s115.ipcamlive.com/streams/73sd3nuiywmenzqtd/stream.m3u8,NIE TESTOWANO,https://www.ipcamlive.com/65e8fcfbcbd5c,segment OK
ONLINE,66a7fb01a47a4,Public IPCamLive page,inne,1920x1080,29.85,h264,51okzumwgitntpyjk,http://s81.ipcamlive.com/,https://s81.ipcamlive.com/streams/51okzumwgitntpyjk/stream.m3u8,NIE TESTOWANO,https://www.ipcamlive.com/66a7fb01a47a4,segment OK
ONLINE,67d43b806ac05,Public IPCamLive page,inne,1920x1080,19.23,h264,4anvgokxv5zm0desc,http://s74.ipcamlive.com/,https://s74.ipcamlive.com/streams/4anvgokxv5zm0desc/stream.m3u8,NIE TESTOWANO,https://www.ipcamlive.com/67d43b806ac05,segment OK
ONLINE,686e4ed435ab6,Public IPCamLive page,inne,1280x720,5.96,h264,15gaycexf0l9lsbtr,http://s21.ipcamlive.com/,https://s21.ipcamlive.com/streams/15gaycexf0l9lsbtr/stream.m3u8,NIE TESTOWANO,https://www.ipcamlive.com/686e4ed435ab6,segment OK
ONLINE,687610ea2603d,Public IPCamLive page,inne,1280x720,20.88,h264,9aydgsorsikmqlfe1,http://s154.ipcamlive.com/,https://s154.ipcamlive.com/streams/9aydgsorsikmqlfe1/stream.m3u8,NIE TESTOWANO,https://www.ipcamlive.com/687610ea2603d,segment OK
