zachować,alias,nazwa,typ,status_z_ostatniego_testu,adres_strony,grupa
,znpvkamera2,Słowenia - Planina nad Vrhniko,góry / narty,ONLINE,https://www.ipcamlive.com/znpvkamera2,wcześniej testowane
,63cb127a0a4f9,USA - Royal Mountain,góry / narty,ONLINE,https://www.ipcamlive.com/63cb127a0a4f9,wcześniej testowane
,cedarcoveresort,Cedar Cove Resort,inne,ONLINE,https://www.ipcamlive.com/cedarcoveresort,wcześniej testowane
,kovacine,Chorwacja - Kovacine,inne,ONLINE,https://www.ipcamlive.com/kovacine,wcześniej testowane
,otport,Francja - Saintes-Maries-de-la-Mer,inne,ONLINE,https://www.ipcamlive.com/otport,wcześniej testowane
,dagilberto,Grecja - Rodos,inne,ONLINE,https://www.ipcamlive.com/dagilberto,wcześniej testowane
,laurelwoodgreen,Laurelwood Golf - green,inne,ONLINE,https://www.ipcamlive.com/laurelwoodgreen,wcześniej testowane
,ozogolfclub,Ozo Golf Club,inne,ONLINE,https://www.ipcamlive.com/ozogolfclub,wcześniej testowane
,64543e68da21a,USA - Pine Grove Resort,inne,ONLINE,https://www.ipcamlive.com/64543e68da21a,wcześniej testowane
,campingondina,Włochy - Cervo - Camping Ondina,inne,ONLINE,https://www.ipcamlive.com/campingondina,wcześniej testowane
,62da90f20979d,Włochy - Ischia - Maronti,inne,ONLINE,https://www.ipcamlive.com/62da90f20979d,wcześniej testowane
,riminieyecom,Włochy - Rimini,inne,ONLINE,https://www.ipcamlive.com/riminieyecom,wcześniej testowane
,57053402af5ea,Botswana - Chobe River,jezioro / rzeka,ONLINE,https://www.ipcamlive.com/57053402af5ea,wcześniej testowane
,rorc,Rileys River Cam,jezioro / rzeka,ONLINE,https://www.ipcamlive.com/rorc,wcześniej testowane
,snowcam1,USA - Lost Lake Woods,jezioro / rzeka,ONLINE,https://www.ipcamlive.com/snowcam1,wcześniej testowane
,laurelwoodview,Laurelwood Golf - panorama,miasto / panorama,ONLINE,https://www.ipcamlive.com/laurelwoodview,wcześniej testowane
,wiezowieczachod,Polska - Bolesławiec - panorama,miasto / panorama,ONLINE,https://www.ipcamlive.com/wiezowieczachod,wcześniej testowane
,cotswold,Anglia - Cotswold Airport,morze / port / plaża,ONLINE,https://www.ipcamlive.com/cotswold,wcześniej testowane
,6654f97b9fdf3,Anglia - Pagham Beach,morze / port / plaża,ONLINE,https://www.ipcamlive.com/6654f97b9fdf3,wcześniej testowane
,69421e5731fe2,Australia - Darwin Harbour,morze / port / plaża,ONLINE,https://www.ipcamlive.com/69421e5731fe2,wcześniej testowane
,6149f4deaa509,Hiszpania - Llafranc - plaża,morze / port / plaża,ONLINE,https://www.ipcamlive.com/6149f4deaa509,wcześniej testowane
,6149f4976134f,Hiszpania - Llafranc - port,morze / port / plaża,ONLINE,https://www.ipcamlive.com/6149f4976134f,wcześniej testowane
,porttorre,Hiszpania - Port Torredembarra,morze / port / plaża,ONLINE,https://www.ipcamlive.com/porttorre,wcześniej testowane
